review,rating,date,bank,source
an exceptional banking app.,5,2025-10-16,Abbysinia Bank,Google Play
alhamdulilah,5,2025-10-11,Abbysinia Bank,Google Play
poor,5,2025-10-11,Abbysinia Bank,Google Play
Best of best,5,2025-10-09,Abbysinia Bank,Google Play
from the last week updates the app is not working Please check the problems,1,2025-10-08,Abbysinia Bank,Google Play
It's always crushing,1,2025-10-08,Abbysinia Bank,Google Play
office branches have to improve their services please,4,2025-10-07,Abbysinia Bank,Google Play
♥️♥️,5,2025-10-05,Abbysinia Bank,Google Play
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,Abbysinia Bank,Google Play
it needs a timely update,5,2025-10-03,Abbysinia Bank,Google Play
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,Abbysinia Bank,Google Play
Like,5,2025-10-01,Abbysinia Bank,Google Play
I can't type my otp on it.,1,2025-10-01,Abbysinia Bank,Google Play
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,Abbysinia Bank,Google Play
jaajja,4,2025-09-30,Abbysinia Bank,Google Play
I love this bank the best experience ever.,5,2025-09-28,Abbysinia Bank,Google Play
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,Abbysinia Bank,Google Play
Great,5,2025-09-20,Abbysinia Bank,Google Play
mobile banking,5,2025-09-19,Abbysinia Bank,Google Play
very good,5,2025-09-18,Abbysinia Bank,Google Play
😎,5,2025-09-18,Abbysinia Bank,Google Play
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,Abbysinia Bank,Google Play
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,Abbysinia Bank,Google Play
none,5,2025-09-14,Abbysinia Bank,Google Play
good,2,2025-09-13,Abbysinia Bank,Google Play
good,5,2025-09-12,Abbysinia Bank,Google Play
very good app i ever used,5,2025-09-12,Abbysinia Bank,Google Play
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,Abbysinia Bank,Google Play
zedo,5,2025-09-11,Abbysinia Bank,Google Play
please open my mobile app,5,2025-09-10,Abbysinia Bank,Google Play
it doesn't open,1,2025-09-10,Abbysinia Bank,Google Play
Very Good,5,2025-09-09,Abbysinia Bank,Google Play
Best banking transaction application in Ethiopia !,5,2025-09-05,Abbysinia Bank,Google Play
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,Abbysinia Bank,Google Play
tamaam kamal,1,2025-09-04,Abbysinia Bank,Google Play
በጣም ሐሪፍ,5,2025-09-03,Abbysinia Bank,Google Play
great 👍,5,2025-09-02,Abbysinia Bank,Google Play
goof,4,2025-09-01,Abbysinia Bank,Google Play
absiniya banki,5,2025-08-29,Abbysinia Bank,Google Play
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,Abbysinia Bank,Google Play
One of the best in this business,5,2025-08-25,Abbysinia Bank,Google Play
Excellent,5,2025-08-20,Abbysinia Bank,Google Play
besat🥰,5,2025-08-19,Abbysinia Bank,Google Play
unlimited experience,5,2025-08-18,Abbysinia Bank,Google Play
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,Abbysinia Bank,Google Play
very nice mobile banking app my favourite,5,2025-08-16,Abbysinia Bank,Google Play
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,Abbysinia Bank,Google Play
best apps,5,2025-08-15,Abbysinia Bank,Google Play
